date,day_name,area,population,waste_kg,recyclable_kg,organic_kg,collection_capacity_kg,overflow,is_weekend,is_holiday,recycling_campaign,temp_c,rain_mm
2024-01-30,Tuesday,Riverside,17918,18937.2,4795.7,7809.1,22042.9,0,0,0,0,23.1,0.0
2024-01-31,Wednesday,Riverside,17923,19094.0,2696.6,8074.6,21437.5,0,0,0,0,25.7,13.5
2024-02-01,Thursday,Riverside,17928,18569.5,4297.1,8565.2,21527.3,0,0,0,0,25.6,3.4
2024-02-02,Friday,Riverside,17934,18891.7,7051.0,7974.3,20755.3,0,0,0,0,24.9,0.0
2024-02-03,Saturday,Riverside,17930,20316.4,4893.5,8599.0,21408.7,0,1,0,0,24.3,0.0
2024-02-04,Sunday,Riverside,17937,20078.5,5138.1,9310.4,21805.4,0,1,0,0,25.4,2.6
2024-02-05,Monday,Riverside,17934,19103.7,4478.4,6897.1,20914.4,0,0,0,0,24.3,2.7
2024-02-06,Tuesday,Riverside,17943,18730.6,6700.4,9209.1,21751.0,0,0,0,0,25.5,0.0
2024-02-07,Wednesday,Riverside,17952,18510.2,6852.8,7415.0,22546.7,0,0,0,0,24.8,0.0
2024-02-08,Thursday,Riverside,17951,18860.7,6065.5,7458.2,22318.1,0,0,0,0,25.5,4.1
2024-02-09,Friday,Riverside,17964,18915.7,6504.3,7861.1,21530.6,0,0,0,0,24.0,7.0
2024-02-10,Saturday,Riverside,17972,23598.2,5927.4,11471.5,22301.1,1,1,1,0,25.2,0.0
2024-02-11,Sunday,Riverside,17969,22980.3,4765.2,8694.4,21593.6,1,1,1,0,26.0,2.3
2024-02-12,Monday,Riverside,17963,22040.7,7614.0,9783.8,21351.0,1,0,1,0,26.6,10.5
2024-02-13,Tuesday,Riverside,17980,17770.7,5254.5,7639.1,22383.9,0,0,0,0,26.0,0.0
2024-02-14,Wednesday,Riverside,17971,18937.5,3427.6,10696.7,21683.9,0,0,0,0,26.1,6.5
2024-02-15,Thursday,Riverside,17973,18779.9,4979.4,9046.4,21572.2,0,0,0,0,26.8,2.0
2024-02-16,Friday,Riverside,17963,18078.5,4490.8,8177.3,21880.3,0,0,0,0,24.2,0.0
2024-02-17,Saturday,Riverside,17965,19030.2,5149.9,9443.8,23107.2,0,1,0,0,24.9,0.0
2024-02-18,Sunday,Riverside,17962,19380.8,4689.4,8609.1,21655.7,0,1,0,0,25.5,0.0
2024-02-19,Monday,Riverside,17963,19027.3,3904.7,5920.7,21647.5,0,0,0,0,25.6,0.9
2024-02-20,Tuesday,Riverside,17964,19451.7,4380.9,8738.2,21131.0,0,0,0,0,26.3,0.5
2024-02-21,Wednesday,Riverside,17968,18433.6,5687.5,5650.6,21687.5,0,0,0,0,25.7,0.0
2024-02-22,Thursday,Riverside,17972,18792.3,4647.9,6463.5,22165.5,0,0,0,0,25.6,0.0
2024-02-23,Friday,Riverside,17971,18889.1,3847.3,6551.0,22931.6,0,0,0,0,26.7,0.0
2024-02-24,Saturday,Riverside,17967,20366.8,4547.1,8465.9,20966.6,0,1,0,0,24.2,0.0
2024-02-25,Sunday,Riverside,17966,19892.8,6005.5,8189.5,22873.6,0,1,0,0,25.3,0.0
2024-02-26,Monday,Riverside,17963,17912.4,2736.6,8073.7,21043.2,0,0,0,0,26.4,0.0
2024-02-27,Tuesday,Riverside,17958,19581.8,4791.0,9870.4,21613.1,0,0,0,0,26.8,20.7
2024-02-28,Wednesday,Riverside,17956,19276.1,6116.5,10618.6,21782.9,0,0,0,0,26.8,17.4
2024-02-29,Thursday,Riverside,17955,19830.0,4042.6,9861.0,21991.1,0,0,0,0,26.2,1.5
2024-03-01,Friday,Riverside,17948,17643.0,4179.0,6810.6,21374.4,0,0,0,1,27.7,0.0
2024-03-02,Saturday,Riverside,17950,19241.1,6537.8,10394.4,22118.3,0,1,0,1,25.3,0.0
2024-03-03,Sunday,Riverside,17944,20181.2,6352.7,10279.7,21972.6,0,1,0,1,27.7,6.8
2024-03-04,Monday,Riverside,17947,18945.1,4035.7,5728.2,21538.3,0,0,0,1,26.1,0.0
2024-03-05,Tuesday,Riverside,17949,18965.6,7547.9,6014.4,20042.6,0,0,0,1,26.2,0.0
2024-03-06,Wednesday,Riverside,17942,18865.9,5162.0,6292.2,19593.2,0,0,0,1,25.9,8.7
2024-03-07,Thursday,Riverside,17935,18593.2,4011.5,7420.5,21423.4,0,0,0,1,28.7,19.6
2024-03-08,Friday,Riverside,17928,19320.6,6550.1,8995.3,22533.8,0,0,0,1,27.6,0.0
2024-03-09,Saturday,Riverside,17929,19197.1,5820.3,7396.1,21248.1,0,1,0,1,25.1,3.1
2024-03-10,Sunday,Riverside,17920,19845.2,5584.7,5702.8,21195.8,0,1,0,1,25.0,10.0
2024-03-11,Monday,Riverside,17925,18280.4,5494.2,6718.2,21137.5,0,0,0,1,26.0,0.0
2024-03-12,Tuesday,Riverside,17925,18610.9,6411.4,9927.9,22735.3,0,0,0,1,26.4,0.0
2024-03-13,Wednesday,Riverside,17929,18595.6,5204.6,5071.0,20860.1,0,0,0,1,27.7,0.0
2024-03-14,Thursday,Riverside,17938,17726.9,7369.7,8273.0,22116.2,0,0,0,1,27.4,0.0
2024-03-15,Friday,Riverside,17948,18531.8,4002.7,8262.4,20933.7,0,0,0,1,26.7,0.0
2024-03-16,Saturday,Riverside,17966,18525.8,6219.4,7629.4,21221.8,0,1,0,1,27.6,0.0
2024-03-17,Sunday,Riverside,17966,19724.0,5708.5,9583.8,21995.4,0,1,0,1,28.0,1.8
2024-03-18,Monday,Riverside,17956,18651.9,7347.8,7416.6,21900.0,0,0,0,1,27.2,0.0
2024-03-19,Tuesday,Riverside,17960,17836.0,5990.4,7869.3,23389.8,0,0,0,1,27.6,0.0
2024-03-20,Wednesday,Riverside,17963,18512.0,5465.0,9162.7,21951.3,0,0,0,1,26.1,0.0
2024-03-21,Thursday,Riverside,17968,18137.0,6028.4,10358.2,22817.2,0,0,0,1,26.8,0.0
2024-03-22,Friday,Riverside,17962,17969.5,4048.3,7693.8,21848.5,0,0,0,0,28.1,0.0
2024-03-23,Saturday,Riverside,17965,19966.6,5873.2,10325.9,24990.1,0,1,0,0,25.5,0.0
2024-03-24,Sunday,Riverside,17954,18978.5,4853.8,9062.1,18874.0,1,1,0,0,27.6,0.0
2024-03-25,Monday,Riverside,17957,18965.6,4517.6,8312.0,22302.0,0,0,0,0,28.6,0.0
2024-03-26,Tuesday,Riverside,17951,18996.6,4298.4,10297.2,21422.3,0,0,0,0,27.2,8.6
2024-03-27,Wednesday,Riverside,17957,19026.0,4073.1,8665.6,20909.8,0,0,0,0,28.0,8.1
2024-03-28,Thursday,Riverside,17953,18244.0,3010.4,6963.2,23103.7,0,0,0,0,27.5,0.0
2024-03-29,Friday,Riverside,17963,19138.3,3042.1,7623.2,21475.0,0,0,0,0,27.7,0.0
2024-03-30,Saturday,Riverside,17967,19612.7,3302.6,10056.8,21577.2,0,1,0,0,27.1,0.0
2024-03-31,Sunday,Riverside,17978,20643.7,5744.3,9568.4,23180.8,0,1,0,0,27.6,7.1
2024-04-01,Monday,Riverside,17983,19247.0,5577.2,8872.3,21935.3,0,0,0,0,27.0,0.0
2024-04-02,Tuesday,Riverside,17986,18514.2,5856.3,9742.1,22889.8,0,0,0,0,27.4,0.0
2024-04-03,Wednesday,Riverside,17996,19077.4,6373.3,8375.8,21550.4,0,0,0,0,27.3,8.4
2024-04-04,Thursday,Riverside,17998,18122.0,4467.8,8943.6,22944.0,0,0,0,0,28.4,0.0
2024-04-05,Friday,Riverside,17992,18973.1,6015.8,8468.8,22053.5,0,0,0,0,28.2,0.0
2024-04-06,Saturday,Riverside,17988,20100.8,6425.2,6442.8,24216.4,0,1,0,0,27.6,0.0
2024-04-07,Sunday,Riverside,17995,20387.5,6495.6,8508.3,22290.7,0,1,0,0,27.8,5.8
2024-04-08,Monday,Riverside,17986,19292.6,3422.7,6973.3,21761.3,0,0,0,0,28.5,11.5
2024-04-09,Tuesday,Riverside,17991,18342.5,3666.3,7130.5,21916.5,0,0,0,0,28.4,0.0
2024-04-10,Wednesday,Riverside,17983,19694.9,4527.5,7344.3,23043.4,0,0,0,0,27.9,0.0
2024-04-11,Thursday,Riverside,17973,19692.9,6907.4,9229.8,20835.1,0,0,0,0,28.4,0.0
2024-04-12,Friday,Riverside,17968,19672.8,4179.0,9019.4,22444.0,0,0,0,0,26.7,10.5
2024-04-13,Saturday,Riverside,17972,22145.4,6584.6,10187.3,22181.6,0,1,1,0,26.7,0.0
2024-04-14,Sunday,Riverside,17974,23590.0,7705.3,11809.3,21528.1,1,1,1,0,27.9,6.8
2024-04-15,Monday,Riverside,17968,21377.4,7513.8,10094.9,22265.3,0,0,1,0,27.6,0.0
2024-04-16,Tuesday,Riverside,17965,21681.5,6050.5,12585.1,22007.4,0,0,1,0,26.7,3.2
2024-04-17,Wednesday,Riverside,17965,20173.9,4642.9,6762.0,22064.6,0,0,0,0,28.5,8.5
2024-04-18,Thursday,Riverside,17965,19020.8,3897.6,9572.1,21883.1,0,0,0,0,28.5,0.0
2024-04-19,Friday,Riverside,17971,19533.2,5761.3,9036.4,21405.2,0,0,0,0,27.6,0.0
2024-04-20,Saturday,Riverside,17992,20570.1,7139.1,10860.1,23178.5,0,1,0,0,29.3,3.0
2024-04-21,Sunday,Riverside,17992,20294.9,5723.0,10503.0,22137.8,0,1,0,0,27.4,7.7
2024-04-22,Monday,Riverside,17986,18546.2,6698.9,7811.8,22733.9,0,0,0,0,27.6,0.0
2024-04-23,Tuesday,Riverside,17987,18711.3,5021.0,7081.9,22081.9,0,0,0,0,29.0,0.0
2024-04-24,Wednesday,Riverside,17991,19755.3,6561.3,5754.6,20247.5,0,0,0,0,29.2,0.0
2024-04-25,Thursday,Riverside,17994,19086.0,7193.1,9554.1,22379.9,0,0,0,0,29.5,0.0
2024-04-26,Friday,Riverside,17995,19667.4,3760.0,5714.5,21369.8,0,0,0,0,30.3,2.4
2024-04-27,Saturday,Riverside,17994,20322.5,6290.3,10650.2,21992.7,0,1,0,0,29.3,0.0
2024-04-28,Sunday,Riverside,17987,20101.7,4185.8,7314.7,21020.1,0,1,0,0,28.9,0.2
2024-04-29,Monday,Riverside,17981,19968.7,4763.1,9371.0,22499.6,0,0,0,0,29.2,0.0
2024-04-30,Tuesday,Riverside,17980,18359.2,4065.9,8952.0,21479.4,0,0,0,0,28.9,3.3
2024-05-01,Wednesday,Riverside,17981,22574.9,6932.6,11910.0,21728.8,1,0,1,0,29.1,4.1
2024-05-02,Thursday,Riverside,17982,18369.4,3993.4,10263.2,21802.8,0,0,0,0,27.8,0.0
2024-05-03,Friday,Riverside,17993,19670.9,4695.3,9564.8,23330.6,0,0,0,0,29.4,0.0
2024-05-04,Saturday,Riverside,17988,19277.1,3282.1,10368.9,22422.2,0,1,0,0,29.4,0.0
2024-05-05,Sunday,Riverside,17980,20064.2,6066.1,9002.7,23484.8,0,1,0,0,28.0,1.7
2024-05-06,Monday,Riverside,17986,19525.8,6326.1,10772.8,21135.4,0,0,0,0,28.5,4.2
2024-05-07,Tuesday,Riverside,17981,19860.9,5532.7,7588.7,22085.5,0,0,0,0,29.9,11.1
2024-05-08,Wednesday,Riverside,17988,18664.5,4498.2,7633.0,22527.5,0,0,0,0,30.9,2.9
2024-05-09,Thursday,Riverside,17987,19429.2,7013.6,9215.2,22292.5,0,0,0,0,29.2,0.0
2024-05-10,Friday,Riverside,17991,19164.8,4205.2,6366.7,22090.6,0,0,0,0,29.1,0.0
2024-05-11,Saturday,Riverside,17982,20602.6,7152.8,7965.6,22926.3,0,1,0,0,30.6,0.0
2024-05-12,Sunday,Riverside,17990,19738.3,5475.8,7654.0,22185.9,0,1,0,0,29.6,1.8
2024-05-13,Monday,Riverside,17995,19108.8,5483.5,6938.1,21551.1,0,0,0,0,29.5,0.0
2024-05-14,Tuesday,Riverside,18000,20118.6,4829.9,8794.9,21603.2,0,0,0,0,31.0,0.0
2024-05-15,Wednesday,Riverside,17997,18084.0,3295.5,8887.6,21372.6,0,0,0,0,29.4,8.0
2024-05-16,Thursday,Riverside,17999,19908.8,7205.1,8607.3,22007.9,0,0,0,0,30.1,14.6
2024-05-17,Friday,Riverside,18001,18012.0,6681.3,8088.1,21917.3,0,0,0,0,29.0,0.0
2024-05-18,Saturday,Riverside,17998,21246.6,6429.1,8898.5,20563.3,1,1,0,0,29.7,0.0
2024-05-19,Sunday,Riverside,17998,19840.2,5668.4,11090.0,22041.5,0,1,0,0,29.0,0.0
2024-05-20,Monday,Riverside,18002,19291.2,4423.0,10068.1,22001.4,0,0,0,0,29.8,2.5
2024-05-21,Tuesday,Riverside,18002,19401.7,6312.3,7318.1,21909.6,0,0,0,0,29.8,12.6
2024-05-22,Wednesday,Riverside,18002,20333.3,4745.7,9959.8,22085.8,0,0,0,0,30.6,19.6
2024-05-23,Thursday,Riverside,18001,19528.6,6243.2,10218.1,21507.0,0,0,0,0,30.0,7.6
2024-05-24,Friday,Riverside,18010,18713.8,4611.6,8801.0,22834.0,0,0,0,0,29.4,10.3
2024-05-25,Saturday,Riverside,18023,19707.2,3661.1,8925.6,20970.7,0,1,0,0,29.3,0.0
2024-05-26,Sunday,Riverside,18032,20554.3,7071.1,9205.1,20747.9,0,1,0,0,29.5,7.5
2024-05-27,Monday,Riverside,18030,18598.6,4089.6,7518.0,22087.2,0,0,0,0,30.8,0.0
2024-05-28,Tuesday,Riverside,18035,18569.6,5085.8,7329.4,22082.7,0,0,0,0,30.2,6.7
2024-05-29,Wednesday,Riverside,18026,19523.1,5198.9,8455.3,21015.9,0,0,0,0,31.0,1.4
2024-05-30,Thursday,Riverside,18027,19096.5,5300.9,11036.2,19215.8,0,0,0,0,29.0,8.5
2024-05-31,Friday,Riverside,18041,19495.0,5012.6,9553.4,22950.8,0,0,0,0,31.4,0.0
2024-06-01,Saturday,Riverside,18035,20014.2,5337.6,8835.4,21160.5,0,1,0,0,30.2,2.2
2024-06-02,Sunday,Riverside,18038,19970.9,5252.7,10086.0,22733.3,0,1,0,0,30.4,13.6
2024-06-03,Monday,Riverside,18047,18727.0,4161.1,7128.4,21521.3,0,0,0,0,29.2,0.2
2024-06-04,Tuesday,Riverside,18045,18845.2,6738.6,6709.7,20449.8,0,0,0,0,29.6,8.9
2024-06-05,Wednesday,Riverside,18052,18888.8,5280.9,8620.0,22290.5,0,0,0,0,29.3,9.7
2024-06-06,Thursday,Riverside,18049,19777.6,5247.8,7985.1,21496.8,0,0,0,0,29.9,8.0
2024-06-07,Friday,Riverside,18046,19610.7,4719.6,11501.4,22318.7,0,0,0,0,30.3,0.0
2024-06-08,Saturday,Riverside,18053,19939.1,4939.5,7476.7,20798.1,0,1,0,0,30.7,2.6
2024-06-09,Sunday,Riverside,18049,19606.8,6713.0,9545.4,21176.2,0,1,0,0,30.6,9.4
2024-06-10,Monday,Riverside,18051,18710.7,5136.0,10254.3,21522.4,0,0,0,0,31.0,0.0
2024-06-11,Tuesday,Riverside,18062,19209.3,5584.6,8070.5,22226.0,0,0,0,0,29.9,8.7
2024-06-12,Wednesday,Riverside,18051,18266.2,6203.7,9264.2,21863.9,0,0,0,0,29.4,3.3
2024-06-13,Thursday,Riverside,18060,18984.7,4503.4,10519.1,22034.2,0,0,0,0,30.2,11.0
2024-06-14,Friday,Riverside,18065,19624.5,3079.6,8098.2,22042.4,0,0,0,0,29.5,15.4
2024-06-15,Saturday,Riverside,18076,20500.9,5146.7,8707.0,20499.8,1,1,0,0,29.1,12.5
2024-06-16,Sunday,Riverside,18076,20160.1,7147.9,8781.9,23039.4,0,1,0,0,31.5,8.5
2024-06-17,Monday,Riverside,18082,19359.1,7811.6,9433.5,21938.2,0,0,0,0,30.8,16.0
2024-06-18,Tuesday,Riverside,18087,19373.1,4480.0,7181.8,21761.7,0,0,0,0,30.2,12.2
2024-06-19,Wednesday,Riverside,18074,19061.4,2912.2,9027.3,21163.7,0,0,0,0,28.5,13.0
2024-06-20,Thursday,Riverside,18078,18172.0,5908.8,5476.5,22204.9,0,0,0,0,29.3,0.0
2024-06-21,Friday,Riverside,18069,18576.5,4372.6,7669.7,23342.2,0,0,0,0,28.5,3.2
2024-06-22,Saturday,Riverside,18055,20855.4,5872.0,10724.5,22072.9,0,1,0,0,28.9,14.0
2024-06-23,Sunday,Riverside,18052,19758.4,6083.0,8566.5,21128.6,0,1,0,0,29.7,0.0
2024-06-24,Monday,Riverside,18053,19002.5,4765.2,9072.2,22762.3,0,0,0,0,28.6,2.2
2024-06-25,Tuesday,Riverside,18053,18598.3,4290.8,8631.4,22799.5,0,0,0,0,30.9,2.0
2024-06-26,Wednesday,Riverside,18058,19984.3,4416.2,9172.8,21448.4,0,0,0,0,30.3,8.3
2024-06-27,Thursday,Riverside,18053,19491.3,3875.0,7164.6,22463.0,0,0,0,0,29.8,13.1
2024-06-28,Friday,Riverside,18051,18678.7,4152.4,7346.6,20766.6,0,0,0,0,30.0,3.5
2024-06-29,Saturday,Riverside,18048,19634.9,3818.0,8453.4,21525.9,0,1,0,0,30.2,5.3
2024-06-30,Sunday,Riverside,18053,20952.2,5266.6,12141.0,21721.6,0,1,0,0,29.5,16.1
2024-07-01,Monday,Riverside,18058,19069.4,5961.2,8785.4,21607.6,0,0,0,0,31.3,9.4
2024-07-02,Tuesday,Riverside,18056,18199.5,5153.0,8911.2,21589.3,0,0,0,0,28.8,11.1
2024-07-03,Wednesday,Riverside,18053,19443.0,4904.5,7342.2,21886.9,0,0,0,0,29.1,11.4
2024-07-04,Thursday,Riverside,18058,19073.2,4078.3,9131.8,22186.7,0,0,0,0,31.9,0.2
2024-07-05,Friday,Riverside,18061,19494.8,4826.7,8253.9,21502.1,0,0,0,0,30.9,7.4
2024-07-06,Saturday,Riverside,18058,20330.8,4972.9,6842.0,23056.9,0,1,0,0,29.1,13.7
2024-07-07,Sunday,Riverside,18051,19200.3,3695.5,9193.6,20917.4,0,1,0,0,28.9,12.8
2024-07-08,Monday,Riverside,18050,20121.9,5030.0,8303.9,20857.4,0,0,0,0,30.3,30.1
2024-07-09,Tuesday,Riverside,18047,18046.6,4125.7,7716.4,22012.7,0,0,0,0,30.3,6.5
2024-07-10,Wednesday,Riverside,18045,17939.1,6419.8,6318.3,21655.1,0,0,0,1,29.4,13.1
2024-07-11,Thursday,Riverside,18052,18248.7,4996.1,6019.9,20588.9,0,0,0,1,29.6,5.3
2024-07-12,Friday,Riverside,18045,18641.3,6720.5,7397.9,20578.0,0,0,0,1,28.5,10.8
2024-07-13,Saturday,Riverside,18053,19987.5,8877.7,9265.9,21093.4,0,1,0,1,29.5,17.5
2024-07-14,Sunday,Riverside,18043,18889.6,5955.4,6746.8,22537.8,0,1,0,1,30.2,6.2
2024-07-15,Monday,Riverside,18035,17813.6,4339.2,7687.7,21510.0,0,0,0,1,29.7,3.0
2024-07-16,Tuesday,Riverside,18027,18520.4,3613.9,9442.0,21272.9,0,0,0,1,29.6,12.2
2024-07-17,Wednesday,Riverside,18024,19048.5,7438.4,8970.3,21799.6,0,0,0,1,29.6,31.1
2024-07-18,Thursday,Riverside,18023,18322.0,5947.5,7409.8,21807.7,0,0,0,1,28.9,17.3
2024-07-19,Friday,Riverside,18022,18417.9,3844.5,10263.6,22133.3,0,0,0,1,30.1,18.2
2024-07-20,Saturday,Riverside,18033,18896.6,5928.6,7327.2,20930.5,0,1,0,1,29.4,12.7
2024-07-21,Sunday,Riverside,18026,20120.3,8726.7,9701.2,22027.9,0,1,0,1,28.9,0.0
2024-07-22,Monday,Riverside,18025,18132.0,3753.6,6062.1,20512.1,0,0,0,1,29.2,12.1
2024-07-23,Tuesday,Riverside,18029,19082.0,7097.7,7955.4,20113.8,0,0,0,1,29.5,10.5
2024-07-24,Wednesday,Riverside,18035,18603.8,6031.0,8274.1,20245.0,0,0,0,1,29.9,8.8
2024-07-25,Thursday,Riverside,18040,18371.2,4954.1,10137.9,20945.9,0,0,0,1,30.8,14.7
2024-07-26,Friday,Riverside,18039,18797.7,5226.5,8118.5,20844.4,0,0,0,1,29.4,14.8
2024-07-27,Saturday,Riverside,18048,19208.6,6363.9,7499.2,21307.5,0,1,0,1,30.2,22.5
2024-07-28,Sunday,Riverside,18045,18970.4,5461.8,8808.2,21016.3,0,1,0,1,28.6,27.8
2024-07-29,Monday,Riverside,18046,17968.1,5641.7,6302.2,21151.8,0,0,0,1,28.1,7.8
2024-07-30,Tuesday,Riverside,18045,19417.3,6516.7,8445.5,21182.1,0,0,0,1,27.9,18.9
2024-07-31,Wednesday,Riverside,18049,18231.6,5147.6,7125.4,21011.3,0,0,0,1,29.0,12.6
2024-08-01,Thursday,Riverside,18038,18789.4,4335.2,6713.3,21130.3,0,0,0,0,29.6,7.6
2024-08-02,Friday,Riverside,18028,19175.2,5885.5,5907.3,21367.6,0,0,0,0,31.2,16.7
2024-08-03,Saturday,Riverside,18037,19615.3,5446.3,10199.7,22067.9,0,1,0,0,28.7,12.6
2024-08-04,Sunday,Riverside,18033,19599.3,3990.2,9070.0,20308.9,0,1,0,0,30.0,3.7
2024-08-05,Monday,Riverside,18030,18743.4,3457.9,10073.8,21613.4,0,0,0,0,28.4,13.7
2024-08-06,Tuesday,Riverside,18039,18680.1,5855.4,7037.1,21546.8,0,0,0,0,29.6,11.4
2024-08-07,Wednesday,Riverside,18047,19153.3,6155.1,7552.0,20522.8,0,0,0,0,30.1,8.2
2024-08-08,Thursday,Riverside,18059,19512.1,6283.4,8195.8,20551.1,0,0,0,0,28.7,27.7
2024-08-09,Friday,Riverside,18062,18461.1,3911.5,6817.9,21231.3,0,0,0,0,29.2,21.5
2024-08-10,Saturday,Riverside,18055,20473.4,5672.7,8759.6,21212.8,0,1,0,0,29.2,23.0
2024-08-11,Sunday,Riverside,18048,19904.3,5954.7,9626.0,20964.4,0,1,0,0,29.2,18.6
2024-08-12,Monday,Riverside,18054,18379.4,6045.8,8138.4,21505.0,0,0,0,0,28.1,12.9
2024-08-13,Tuesday,Riverside,18052,19082.1,3997.3,10368.7,20971.0,0,0,0,0,28.4,13.8
2024-08-14,Wednesday,Riverside,18045,18232.6,6214.4,8122.5,21494.4,0,0,0,0,28.7,9.8
2024-08-15,Thursday,Riverside,18039,19215.7,5721.2,7730.9,20750.9,0,0,0,0,29.3,17.3
2024-08-16,Friday,Riverside,18038,18911.5,4120.8,10481.5,20759.6,0,0,0,0,28.3,10.9
2024-08-17,Saturday,Riverside,18025,19495.1,4169.1,6443.9,21224.6,0,1,0,0,27.9,12.6
2024-08-18,Sunday,Riverside,18022,19290.4,3733.7,7754.1,21907.7,0,1,0,0,28.7,15.8
2024-08-19,Monday,Riverside,18026,18351.0,3145.1,8277.8,20550.3,0,0,0,0,26.5,24.2
2024-08-20,Tuesday,Riverside,18027,19289.4,2904.2,5826.2,20805.9,0,0,0,0,27.4,15.7
2024-08-21,Wednesday,Riverside,18033,18221.9,4394.9,7537.1,21412.4,0,0,0,0,28.6,13.3
2024-08-22,Thursday,Riverside,18020,18410.4,2913.7,9126.5,21531.1,0,0,0,0,28.3,44.6
2024-08-23,Friday,Riverside,18017,18657.4,4028.3,8226.2,21283.0,0,0,0,0,27.8,16.2
2024-08-24,Saturday,Riverside,18027,19345.2,4250.3,7561.0,20394.9,0,1,0,0,27.1,7.6
2024-08-25,Sunday,Riverside,18022,20370.7,5799.9,8547.9,20530.8,0,1,0,0,28.0,9.6
2024-08-26,Monday,Riverside,18028,19109.9,7548.0,8678.2,20424.3,0,0,0,0,27.9,9.6
2024-08-27,Tuesday,Riverside,18025,18620.9,5106.7,7465.9,21257.3,0,0,0,0,27.7,14.0
2024-08-28,Wednesday,Riverside,18028,18857.8,4126.8,10224.3,20528.6,0,0,0,0,30.0,14.5
2024-08-29,Thursday,Riverside,18030,18903.4,6085.4,10554.5,21159.7,0,0,0,0,28.6,4.5
2024-08-30,Friday,Riverside,18048,17928.3,3812.6,7945.5,20691.3,0,0,0,0,28.7,9.3
2024-08-31,Saturday,Riverside,18044,19733.0,6547.1,9669.2,21692.6,0,1,0,0,29.2,6.3
2024-09-01,Sunday,Riverside,18028,18678.2,4329.6,9488.1,21592.8,0,1,0,0,28.3,13.7
2024-09-02,Monday,Riverside,18029,18483.0,6059.1,7612.5,21628.4,0,0,0,0,28.3,29.4
2024-09-03,Tuesday,Riverside,18032,18126.9,4883.6,8938.1,21090.8,0,0,0,0,28.3,21.4
